phi1,phi2,nstars,width
-15.894100464789313,-5.732665150463794,17.363846892681302,0.23312210457186489
-15.794100464789313,-5.659290127910222,11.701488509859903,0.2288262906863992
-15.694100464789313,-5.637137969088105,14.516706893775119,0.19960669925320437
-15.594100464789314,-5.587256405960089,13.640154164453081,0.2105546655540926
-15.494100464789314,-5.503637483611824,15.999999999999996,0.20930128551736335
-15.394100464789314,-5.47935546801717,19.63554723757893,0.21951249966225891
-15.294100464789315,-5.413462828033564,19.999999999999996,0.22268069619427616
-15.194100464789315,-5.315307874713425,21.999999999999996,0.20495830108653293
-15.094100464789316,-5.237694044211986,26.00202377416198,0.17273827326511607
-14.994100464789316,-5.23245977804144,25.711898577470343,0.17206348058651275
-14.894100464789316,-5.199620132113715,21.607117267253766,0.19356274892078063
-14.794100464789317,-5.146826737692129,13.635002776295302,0.2334918176213583
-14.694100464789317,-5.072796993283291,19.412259097223014,0.20355504023795093
-14.594100464789317,-5.046596830480515,17.99623628887197,0.1859682911983831
-14.494100464789318,-4.989523747408848,14.526403018110441,0.2002673509075548
-14.394100464789318,-4.977744789049985,15.362105904520432,0.16008570501522723
-14.294100464789318,-4.906650407031477,15.788362919090767,0.21322081450961441
-14.194100464789319,-4.860299984024111,17.136543601651514,0.19697227057399433
-14.094100464789319,-4.8136986967837485,15.511003814196835,0.1889961841782177
-13.99410046478932,-4.7164741104914505,24.999999999999996,0.16359102846759702
-13.89410046478932,-4.681736845565829,26.576706703277097,0.1451039693066493
-13.79410046478932,-4.62181070449357,21.229917260070245,0.18580138034720933
-13.69410046478932,-4.562830035636937,18.524860335993477,0.1943488495547895
-13.59410046478932,-4.505203767983656,21.046559496927905,0.16023398749082812
-13.494100464789321,-4.49210662772302,22.121788066200438,0.15157471182824497
-13.394100464789322,-4.435915717007861,17.337914585105526,0.17418076881991582
-13.294100464789322,-4.367470506113575,18.241939128236123,0.1737187642465035
-13.194100464789322,-4.319586311286982,20.6691653249069,0.15743109810201159
-13.094100464789323,-4.286546727886668,24.741042811284636,0.14222583494067495
-12.994100464789323,-4.246798736093129,19.050306437530562,0.15873134452207438
-12.894100464789323,-4.159535039626246,16.46815882160682,0.1532491386799857
-12.794100464789324,-4.122578955538113,15.6599499459684,0.1384077013267923
-12.694100464789324,-4.104783010615758,17.12558846484457,0.14768762121972243
-12.594100464789324,-4.032744534426995,17.713297607427435,0.18393493010573583
-12.494100464789325,-3.9691576598541563,23.84959306225962,0.13801886713719153
-12.394100464789325,-3.940748418143919,26.439443569485736,0.1373631552789763
-12.294100464789325,-3.8754051020630884,22.126603524603222,0.1687240861604449
-12.194100464789326,-3.8290618205271416,18.634720463874565,0.16226729946422228
-12.094100464789326,-3.80018916932287,16.43272025259352,0.1714071425128622
-11.994100464789327,-3.70279470006195,17.93462520937746,0.15448911648818922
-11.894100464789327,-3.679087018843727,26.187001611976463,0.127251796669792
-11.794100464789327,-3.6565902243448636,24.460639416184684,0.13077270883847603
-11.694100464789328,-3.600166605910573,17.848643506523086,0.16202134951007713
-11.594100464789328,-3.5624055769733203,16.916289264671523,0.16811081917860493
-11.494100464789328,-3.5455480840054254,18.110919591827958,0.17117887951135893
-11.394100464789329,-3.497415235393879,21.99368021429088,0.16903009946567055
-11.294100464789329,-3.4427680161129666,18.342109234503823,0.1612101219460091
-11.19410046478933,-3.4076689868535537,19.667728223715066,0.13460999364751144
-11.09410046478933,-3.3625957303091054,18.381983988344984,0.13818274366812336
-10.99410046478933,-3.290385853995022,17.687085162559107,0.15229692696541433
-10.89410046478933,-3.243431631026415,20.18589333924205,0.12454945210117993
-10.79410046478933,-3.2340408257263875,22.319403469645124,0.12132723456454853
-10.694100464789331,-3.179522705168543,18.663435850305582,0.14646206468454823
-10.594100464789332,-3.1290887739411675,19.694797009003633,0.15136422476786743
-10.494100464789332,-3.09838306819137,13.69681281060716,0.17061600724296197
-10.394100464789332,-3.0561407309427673,15.007945799910706,0.15129913121932126
-10.294100464789333,-3.011017511931399,16.417790972541614,0.16570833476086988
-10.194100464789333,-2.9666739074741604,19.594982347380004,0.14381921760573177
-10.094100464789333,-2.944390770278633,18.49851488888493,0.12567140042988273
-9.994100464789334,-2.9189458284384444,16.78034269506047,0.13361282055207854
-9.894100464789334,-2.861030614410626,13.759189322490123,0.1710330919628626
-9.794100464789334,-2.82803166903774,15.340118646042347,0.14783598360280567
-9.694100464789335,-2.7977585715947892,19.06665797667973,0.12830266908970372
-9.594100464789335,-2.7543871665791735,18.724465741154887,0.11977502290942466
-9.494100464789335,-2.71479562810026,19.025399215782162,0.11441782398628586
-9.394100464789336,-2.6593152214645652,20.670579369379727,0.12744774493085362
-9.294100464789336,-2.611642057529502,23.21561576834963,0.12270891341500002
-9.194100464789337,-2.585693091926811,21.602655864434162,0.11511866340981391
-9.094100464789337,-2.5359229341290335,19.630743664977246,0.11866578218568159
-8.994100464789337,-2.5010552892932116,27.08883000549685,0.11850822642529614
-8.894100464789338,-2.484349346637177,23.143960423326618,0.12910155495762674
-8.794100464789338,-2.448744012174528,20.314267739144487,0.12182135649984908
-8.694100464789338,-2.4142105531888256,18.674977173981013,0.10919862651743702
-8.594100464789339,-2.360735137473033,16.155525031337486,0.12138492514492917
-8.494100464789339,-2.313636926659986,16.64055277152297,0.12216481806901212
-8.39410046478934,-2.276308042758283,19.279556802475675,0.12430079712874112
-8.29410046478934,-2.2562602504345657,22.6808590210484,0.11213848318476428
-8.19410046478934,-2.2341983928823064,18.157452247113415,0.1085352395563848
-8.09410046478934,-2.1838101772875484,15.481659760447679,0.13870067226270433
-7.994100464789341,-2.1450502518562526,24.63925741987217,0.12213055489259522
-7.894100464789341,-2.12765144110292,28.229661066271426,0.11841300457687777
-7.7941004647893415,-2.0971441829110673,18.117734002344562,0.134712644775134
-7.694100464789342,-2.045066427839142,20.789239127019457,0.10115168446118498
-7.594100464789342,-2.016921185910252,23.5528855180199,0.10182721844039323
-7.4941004647893426,-2.006356237559304,27.30021849893874,0.10868224848773855
-7.394100464789343,-1.984096431834214,22.541076170166765,0.1135417012822785
-7.294100464789343,-1.920493719897214,16.26047551314193,0.13671725063772286
-7.194100464789344,-1.8665215052956106,17.490050334407012,0.12120014196581307
-7.094100464789344,-1.856226885203577,16.603430460905443,0.1356032237778623
-6.994100464789344,-1.8302112346708872,17.237434473866035,0.13852122275863768
-6.894100464789345,-1.7961557835560276,19.720209124748326,0.11305090472550962
-6.794100464789345,-1.7579354434834502,21.728501249999127,0.10808076109770128
-6.694100464789345,-1.7296333476456278,19.390927221016838,0.11166054813858697
-6.594100464789346,-1.6824070153619555,23.276620619239605,0.10993565962390393
-6.494100464789346,-1.6731047414110414,26.999568099126837,0.10086753463477406
-6.3941004647893465,-1.6541383529875977,20.44189044310969,0.11226328004785596
-6.294100464789347,-1.6085255127501201,20.900374901632595,0.11663873895888051
-6.194100464789347,-1.591678861468709,24.166283394918825,0.10962656561459273
-6.0941004647893475,-1.5742369186073235,20.516709149024,0.12158146155265723
