stream,phi1,mean,16th,84th,type
aliqa_uma,-7.5,5.6266727275895055e-08,1.1425844834120462e-11,0.0003392409904411254,peak_intensity
aliqa_uma,-4.772727272727273,0.09807375732352955,0.08076947991376701,0.11539087742341513,peak_intensity
aliqa_uma,-3.8636363636363638,0.08725353982706671,0.060450043679870336,0.1142853986495112,peak_intensity
aliqa_uma,-2.954545454545454,0.24162621068981355,0.2062233858842623,0.28215669105935803,peak_intensity
aliqa_uma,-2.045454545454546,0.0797490106979137,0.055365874801914544,0.10718317116463204,peak_intensity
aliqa_uma,-1.1363636363636367,0.07871753740687071,0.05995285367812548,0.09934846596818324,peak_intensity
aliqa_uma,-0.22727272727272751,0.06906950862959108,0.052497402761070275,0.08717594260050489,peak_intensity
aliqa_uma,2.5,0.14804405189018302,0.11304917992160722,0.18549508615283627,peak_intensity
atlas,-13.0,3.574888218946969e-08,6.920425140993986e-12,0.00026313965838796303,peak_intensity
atlas,-11.047619047619047,0.08154435027228743,0.07306301987382033,0.09077146007715774,peak_intensity
atlas,-10.071428571428571,0.07431564651298246,0.06448707447380571,0.08441578783725119,peak_intensity
atlas,-9.095238095238095,0.08387365872000946,0.07591006921841002,0.09270959858270023,peak_intensity
atlas,-6.166666666666667,0.12950611238809331,0.1185235994998001,0.14087476805853036,peak_intensity
atlas,-5.9226190476190474,0.14846566599648128,0.13437904216733915,0.1631915888583874,peak_intensity
atlas,-5.190476190476191,1.5125195310662605e-08,5.560837735129195e-21,0.01264427997803289,peak_intensity
atlas,-4.458333333333333,0.09323094944136648,0.0822899978357993,0.1056504235152923,peak_intensity
atlas,-4.2142857142857135,0.01917131940964415,0.015405913096733921,0.026748262151118602,peak_intensity
atlas,-3.9702380952380945,0.004610995340492837,0.0009648335462911825,0.011589197847668419,peak_intensity
atlas,-0.3095238095238102,0.041779135414477454,0.03427261465733797,0.04966959684836486,peak_intensity
atlas,0.6666666666666661,0.048974748196343905,0.038199540553261864,0.059840754457755364,peak_intensity
atlas,1.6428571428571423,0.015536191678444363,0.00872180277141515,0.0235645133926424,peak_intensity
atlas,3.595238095238095,0.022711614596743056,0.014711713064807775,0.030701692178278648,peak_intensity
atlas,4.571428571428573,0.024511141696660573,0.015032975563600639,0.0345200608886944,peak_intensity
atlas,5.5476190476190474,0.0695831708916103,0.06069585201980963,0.07878524361132305,peak_intensity
atlas,7.5,1.0385677212479661e-07,1.0095535682594587e-11,0.0008579256583647482,peak_intensity
chenab,-12.5,0.0438169017996022,0.03242415116015489,0.054382276032535426,peak_intensity
chenab,-9.558823529411768,0.004958050425912849,6.739111612426378e-05,0.01247599517286423,peak_intensity
chenab,-3.67647058823529,0.0677534035900077,0.060730424075896766,0.07494193632797193,peak_intensity
chenab,-2.205882352941174,0.04624199786570568,0.03503387296914958,0.05730408150183647,peak_intensity
chenab,-0.735294117647058,0.052885716180417985,0.0418138549753756,0.06466278871896237,peak_intensity
chenab,0.735294117647058,0.0297886104403363,0.020433351562696933,0.03919501324618122,peak_intensity
chenab,6.617647058823529,0.056632271549416136,0.049235432305779134,0.06408540665523604,peak_intensity
chenab,8.088235294117652,0.03063603084974261,0.02282026087996756,0.03906369243347811,peak_intensity
chenab,9.558823529411768,0.051803399048450466,0.04180172809189179,0.06263340353941427,peak_intensity
chenab,11.029411764705884,0.020987344810680954,0.014624721027293097,0.029305163277388597,peak_intensity
chenab,12.5,5.663117356266742e-08,7.129586928614607e-12,0.0003656852655931996,peak_intensity
elqui,-15.0,4.2133240102906974e-08,3.741941196548411e-12,0.000586031161143067,peak_intensity
elqui,-13.382352941176471,0.0027377983939505866,0.0005047438264667419,0.008531163776436158,peak_intensity
elqui,-10.147058823529413,0.00637085614761458,0.0006987472649158688,0.01668322220609678,peak_intensity
elqui,-8.529411764705884,0.004029091692709286,0.0007880073334009557,0.010138012397881611,peak_intensity
elqui,-5.294117647058826,0.053609389182601705,0.04165571303101774,0.06470158207917405,peak_intensity
elqui,-2.058823529411768,0.06243731835884845,0.05193128055525306,0.07417286281025763,peak_intensity
elqui,-0.44117647058823195,0.05813874560403497,0.04651929820762396,0.06970796721863345,peak_intensity
elqui,1.17647058823529,0.11962302255711403,0.10573750832696643,0.13429693780657975,peak_intensity
elqui,2.794117647058826,0.08398703630598438,0.07072303648095002,0.09880293163180234,peak_intensity
elqui,6.029411764705884,0.03814933846243634,0.025880564000560234,0.050676481262660916,peak_intensity
elqui,7.647058823529413,0.007768933107378901,0.0030391096266600202,0.012562808661076091,peak_intensity
elqui,9.264705882352942,0.004015704842091668,0.0005891713693684618,0.01260595462319961,peak_intensity
elqui,12.5,1.672204431353868e-07,1.8866909535513582e-11,0.0018528422570626554,peak_intensity
gd_1,-65.0,2.6288046676071763e-05,3.830869253497451e-11,0.011984965619196283,peak_intensity
gd_1,-58.333333333333336,0.012634735069015246,0.00955801993126414,0.015700323280715144,peak_intensity
gd_1,-48.33333333333333,0.02914186846495703,0.026288988841399696,0.03215179553610816,peak_intensity
gd_1,-41.66666666666667,0.003725132696028595,0.00031601367775455715,0.006630728763602441,peak_intensity
gd_1,-38.33333333333333,0.010241809373627618,0.008685505057005586,0.01205685344066774,peak_intensity
gd_1,-15.0,0.013969556074465178,0.012179773762067605,0.015873821095862568,peak_intensity
gd_1,-11.666666666666664,0.022375442394305247,0.019536038881715848,0.025401528459899753,peak_intensity
gd_1,-4.166666666666664,0.01115525623503484,0.008322558781790015,0.013938928318906271,peak_intensity
gd_1,-1.6666666666666643,0.016760018960931194,0.014275684769786322,0.01916194758415331,peak_intensity
gd_1,5.0,4.110201520458115e-07,1.2712569194695463e-11,0.003079553377291078,peak_intensity
indus,-12.5,3.1834617737517305e-08,5.690731645030617e-12,0.0001935565011909993,peak_intensity
indus,-11.176470588235293,0.01080616163264642,0.002585338336720451,0.02127145215592799,peak_intensity
indus,-9.852941176470589,0.00426902953714927,0.0009702064835275185,0.008740267581526063,peak_intensity
indus,-8.529411764705882,0.03375007916391479,0.026248612506816364,0.04137822759137136,peak_intensity
indus,-7.205882352941177,0.018675133038509636,0.011906646768163364,0.025236011526512267,peak_intensity
indus,-5.882352941176471,0.04123458035706046,0.03627849530723395,0.04638950150862255,peak_intensity
indus,-1.9117647058823533,0.0440887253946902,0.03957556691738559,0.04889329889178485,peak_intensity
indus,-0.5882352941176467,0.06552419935066749,0.059674189211125266,0.07175704740742637,peak_intensity
indus,0.735294117647058,0.061745323750911546,0.05524216464507393,0.06831488459794315,peak_intensity
indus,2.0588235294117645,0.0656585580705669,0.06016457975805962,0.07124743887681508,peak_intensity
indus,3.382352941176471,0.048856694931978105,0.044342645424279424,0.05352485158782963,peak_intensity
indus,10.0,0.10320252939269017,0.08510240616429084,0.12197171725204382,peak_intensity
jhelum,-16.25,0.0006453502938263018,2.3568180538455175e-10,0.017715734642158677,peak_intensity
jhelum,-14.338235294117647,0.03689218375021295,0.03184951196947724,0.04205790402254371,peak_intensity
jhelum,-12.426470588235293,0.02621035885762121,0.02265192609136022,0.029773238927943743,peak_intensity
jhelum,-6.6911764705882355,0.037031882384123464,0.033545514503910724,0.04046776092487104,peak_intensity
jhelum,-2.867647058823529,0.0264179185573056,0.023221976356010685,0.029714448052576278,peak_intensity
jhelum,0.9558823529411775,0.035570521242282244,0.031831970036771975,0.03908545627945914,peak_intensity
jhelum,2.867647058823529,0.014870458976323792,0.010956914053122298,0.018725449415803605,peak_intensity
jhelum,6.6911764705882355,0.029700033473754224,0.02486766729859936,0.0345947141785524,peak_intensity
jhelum,7.169117647058826,0.0154201629268849,0.008486264241267479,0.02173489256426534,peak_intensity
jhelum,8.602941176470587,0.040200384036786316,0.0341325540610539,0.046411215096547456,peak_intensity
jhelum,10.514705882352942,0.012635449365488587,0.006874069171830586,0.01870792637503813,peak_intensity
jhelum,14.338235294117649,0.058312238510769186,0.052268694024608015,0.06468475702121271,peak_intensity
jhelum,16.25,4.190828136421633e-06,2.0542509550206544e-11,0.016649299030827295,peak_intensity
ophiuchus,-1.75,2.853304567944948e-07,1.2137956045340079e-11,0.0040770899978238425,peak_intensity
ophiuchus,-1.658854166666667,0.024515911990915393,0.0075222404389842035,0.0748913899746961,peak_intensity
ophiuchus,-1.385416666666667,0.26733300181421393,0.20125463006033395,0.3426208908882606,peak_intensity
ophiuchus,-1.166666666666667,0.6749838143371046,0.5899113445720346,0.7646696020695811,peak_intensity
ophiuchus,-0.875,0.359741108961616,0.29304351967492065,0.4257263766771826,peak_intensity
ophiuchus,-0.583333333333333,0.3988219285027164,0.3484435294456131,0.4469965558769674,peak_intensity
ophiuchus,0.5833333333333339,0.23987478484571007,0.20338391197562616,0.2783017795164085,peak_intensity
ophiuchus,1.75,3.2262948300592944e-07,1.4801897154601187e-11,0.0024896362893669583,peak_intensity
pal_5_leading,-8.0,6.964137115386368e-08,6.382272333891729e-12,0.0008728842149884906,peak_intensity
